"mat_code";"gcn_no";"gcn_date";"grn_no";"grn_date";"po_no";"po_date";"receiver_id";"consignee_id";"po_sl_no";"part_id";"part_name";"qty_delivered";"uom";"unit_price";"taxable_amt";"cgst_price";"sgst_price";"igst_price";"rejected_item"
"MEE";"001/2023-24";"06-04-2023";"0102";"28-03-2023";"10570";"03-02-2023";"slnt";"slnt";1;"316x150x180(in mm)";"DAU Enclosure/ Exterior painting with PU Black matt Finish, Size";7;"Nos";7500.0;52500.0;4725.0;4725.0;0.0;0
"MEE";"002/2023-24";"08-04-2023";"2022-23/23363";"25-03-2023";"2022-23/00075";"06-04-2022";"hite";"alst";1;"4344";"SUPPORT CASTING BRACKET AGTU";98;"Nos";1240.0;121520.0;0.0;0.0;21873.6;0
"MEE";"002/2023-24";"08-04-2023";"2022-23/23366";"25-03-2023";"2022-23/00075";"06-04-2022";"hite";"alst";2;"4348";"SUPPORT CASTING BRACKET TRANSFORMER";7;"Nos";3880.0;27160.0;0.0;0.0;4888.8;0
"MEE";"003/2023-24";"11-04-2023";"2022-23/23527";"27-03-2023 ";"2022-23/01548";"03-12-2022";"hite";"alst";1;"4617";"BRACKET-NH00001763534";39;"Nos";1420.0;55380.0;0.0;0.0;9968.4;0
"MEE";"004/2023-24";"13-04-2023";"SC232400016";"06-04-2023";"PUR/JW/2021000011";"03-12-2020";"side";"side";1;"A14-02M";"SPRING SEAT UPPER";61;"Nos";670.0;40870.0;3678.3;3678.3;0.0;0
"MEE";"006/2023-24";"17-04-2023";"37/2023-24 ";"10-04-2023";"63/2020-2021 ";"18-06-2020";"amst";"amst";1;"AT00000461232,D";"END SHIELD-DRIVING SIDE PART";20;"Nos";18000.0;360000.0;0.0;0.0;64800.0;0
"MEE";"007/2023-24";"20-04-2023";"2023-24/00277";"07-04-2023";"2022-23/00073";"06-04-2022";"hite";"hite";1;"4316";"AIR ADAPTOR-NH00001570684";61;"Nos";1415.0;86315.0;0.0;0.0;15536.7;0
"MEE";"008/2023-24";"20-04-2023";"2022-23/20011";"03-04-2023";"2021-22/00075";"06/04/2022";"hite";"alst";2;"4348";"SUPPORT CASTING BRACKET TRANSFORMER";36;"Nos";3880.0;139680.0;0.0;0.0;25142.4;0
"MEE";"008/2023-24";"20-04-2023";"2022-23/20010";"03-04-2023";"2022-23/01548";"03-12-2022";"hite";"alst";2;"4618";"BRACKET- NH00001763511";14;"Nos";1705.0;23870.0;0.0;0.0;4296.6;0
"MEE";"009/2023-24";"22-04-2023";"SC232400033";"18-04-2023";"PUR/JW/2021000011";"03-12-2020";"side";"side";9;"A14-09M";"LIFTING STOP-RAL9005 MACHINED";75;"Nos";1690.0;126750.0;11407.5;11407.5;0.0;0
"MEE";"009/2023-24";"22-04-2023";"SC232400033";"18-04-2023";"PUR/JW/2021000011";"03-12-2020";"side";"side";16;"A14-01M1(Rework)";"SPRING SEAT: LOWER REWORK";38;"Nos";700.0;26600.0;2394.0;2394.0;0.0;0
"MEE";"010/2023-24";"29-04-2023";"2023-24/01346";"21-04-2023";"2021-22/00075";"06-04-2022";"hite";"alst";2;"4348";"SUPPORT CASTING BRACKET TRANSFORMER";39;"Nos";3880.0;151320.0;0.0;0.0;27237.6;0
"MEE";"011/2023-24";"04-05-2023";" 9785";"22-03-2023";"041/2023-2024";"03-05-2023";"samu";"samu";1;"SI-7355";"RELESE LEVER";93;"Nos";1224.0;113832.0;0.0;0.0;20489.76;0
"MEE";"012/2023-24";"05-05-2023";"108/2023-24";"26-04-2023";"63/2020-2021";"18-06-2020";"amst";"amst";1;"AT00000461232,D";"END SHIELD-DRIVING SIDE PART";20;"Nos";18000.0;360000.0;0.0;0.0;64800.0;0
